,chou_fasman,emini,kolaskar_tongaonkar,parker,isoelectric_point,aromaticity,hydrophobicity,stability,length,target
181,0.942,0.333,1.145,-0.25,6.18475341796875,0.0722100656455142,-0.6814004376367612,45.24048140043761,6,0
182,0.96,1.006,1.024,3.4330000000000003,6.18475341796875,0.0722100656455142,-0.6814004376367612,45.24048140043761,6,0
183,1.253,1.028,0.996,3.383,5.13983154296875,0.0848126232741617,-0.0885601577909269,43.652682445759375,6,1
184,0.957,3.884,0.961,2.517,5.13983154296875,0.0848126232741617,-0.0885601577909269,43.652682445759375,6,1
185,0.96,0.843,1.114,-1.0,5.90179443359375,0.0680100755667506,-0.3924433249370273,39.64158690176322,6,1
186,1.073,1.058,1.011,4.517,6.05523681640625,0.0657894736842105,-0.2364661654135338,52.33496240601512,6,1
187,1.03,0.393,1.034,2.6,4.99920654296875,0.1052631578947368,-0.0665413533834586,47.9488721804511,6,1
188,0.97,2.013,0.979,0.914,5.81036376953125,0.1032745591939546,-0.1438287153652394,40.27329974811083,7,1
189,0.8340000000000001,0.186,1.099,-2.957,5.81036376953125,0.1032745591939546,-0.1438287153652394,40.27329974811083,7,1
190,0.8059999999999999,0.377,0.951,-0.8859999999999999,5.81036376953125,0.1032745591939546,-0.1438287153652394,40.27329974811083,7,1
191,1.106,1.071,1.045,1.614,5.81036376953125,0.1032745591939546,-0.1438287153652394,40.27329974811083,7,1
192,0.794,0.494,1.015,0.8140000000000001,5.81036376953125,0.1032745591939546,-0.1438287153652394,40.27329974811083,7,1
193,1.0659999999999998,0.635,1.034,2.371,6.21087646484375,0.0654761904761904,-0.0369047619047618,24.99851190476189,7,1
194,1.077,2.537,0.9,5.143,6.21087646484375,0.0654761904761904,-0.0369047619047618,24.99851190476189,7,1
195,0.8959999999999999,0.759,1.051,-0.743,4.93878173828125,0.075187969924812,-0.0075187969924812,29.75112781954885,7,1
196,1.004,1.853,0.973,2.814,5.02703857421875,0.029585798816568,-0.7591715976331348,48.45682445759378,7,1
197,0.977,0.407,1.0490000000000002,0.857,5.02703857421875,0.029585798816568,-0.7591715976331348,48.45682445759378,7,1
198,0.7859999999999999,0.6,1.083,0.643,6.07257080078125,0.0905511811023622,-0.5779527559055121,45.752362204724406,7,1
199,1.013,1.422,1.034,1.714,8.45098876953125,0.072289156626506,0.1060240963855423,44.98674698795181,7,1
200,1.267,0.15,1.145,3.014,7.96990966796875,0.0666666666666666,-0.7533333333333335,137.04666666666662,7,1
201,1.2009999999999998,0.625,1.121,2.7710000000000004,7.96990966796875,0.0666666666666666,-0.7533333333333335,137.04666666666662,7,0
202,1.233,0.5489999999999999,1.068,3.414,7.96990966796875,0.0666666666666666,-0.7533333333333335,137.04666666666662,7,1
